"","Stock","$B_0$","$R_0$","$R_{init}$","$\overline{R}$","$M_0$","$\overline{M}$","$q_s$","$q_d$","$B_{2019}$","$B_{2019}/B_0$"
"1","C/S","8.504 (1.978)","545.739 (133.698)","296 (296)","342 (76)","0.495 (0.041)","0.806 (0.055)","0.249 (0.046)","0.998 (0.01)","1.47 (0.299)","0.18 (0.049)"
"2","JP/S","44.037 (9.355)","1813.158 (429.575)","1195 (1195)","1243 (247)","0.443 (0.037)","0.7 (0.034)","0.196 (0.028)","0.997 (0.01)","7.507 (1.425)","0.176 (0.043)"
"3","Lou","4.578 (1.024)","138.93 (40.627)","621 (621)","110 (29)","0.491 (0.038)","0.625 (0.047)","0.114 (0.02)","0.998 (0.01)","1.153 (0.267)","0.258 (0.06)"
