"","Stock","$B_0$","$R_0$","$R_{init}$","$\overline{R}$","$M_0$","$\overline{M}$","$q_s$","$q_d$","$B_{2019}$","$B_{2019}/B_0$"
"1","C/S","5.937 (1.089)","535.225 (136.372)","331 (331)","423 (115)","0.495 (0.044)","0.888 (0.065)","0.256 (0.048)","0.998 (0.01)","1.207 (0.357)","0.207 (0.064)"
"2","JP/S","33.56 (5.137)","1542.862 (309.439)","1180 (1180)","1336 (261)","0.445 (0.044)","0.725 (0.037)","0.21 (0.031)","0.997 (0.01)","6.842 (1.863)","0.207 (0.06)"
"3","Lou","3.262 (0.681)","186.896 (61.424)","585 (585)","154 (56)","0.47 (0.043)","0.766 (0.079)","0.106 (0.022)","0.998 (0.01)","1.806 (0.622)","0.563 (0.191)"
