"","Stock","$B_0$","$R_0$","$R_{init}$","$\overline{R}$","$M_0$","$\overline{M}$","$q_s$","$q_d$","$B_{2019}$","$B_{2019}/B_0$"
"1","C/S","7.163 (1.294)","452.333 (109.239)","283 (283)","336 (74)","0.489 (0.04)","0.8 (0.053)","0.257 (0.047)","0.998 (0.01)","1.429 (0.289)","0.204 (0.049)"
"2","JP/S","36.259 (5.355)","1491.131 (297.494)","1136 (1136)","1238 (240)","0.441 (0.038)","0.699 (0.034)","0.204 (0.029)","0.997 (0.01)","7.257 (1.352)","0.204 (0.044)"
"3","Lou","4.019 (0.732)","122.931 (33.826)","608 (608)","106 (31)","0.489 (0.039)","0.625 (0.05)","0.118 (0.022)","0.998 (0.011)","1.085 (0.247)","0.274 (0.061)"
