"","Stock","$B_0$","$R_0$","$R_{init}$","$\overline{R}$","$M_0$","$\overline{M}$","$q_s$","$q_d$","$B_{2019}$","$B_{2019}/B_0$"
"1","C/S","5.411 (0.895)","501.921 (116.692)","329 (329)","433 (100)","0.495 (0.046)","0.895 (0.065)","0.264 (0.047)","0.998 (0.01)","1.144 (0.338)","0.214 (0.064)"
"2","JP/S","31.05 (4.351)","1429.724 (278.937)","1072 (1072)","1332 (278)","0.441 (0.041)","0.725 (0.039)","0.215 (0.031)","0.997 (0.01)","6.857 (1.795)","0.224 (0.061)"
"3","Lou","3.019 (0.582)","185.267 (63.764)","618 (618)","158 (60)","0.472 (0.045)","0.781 (0.081)","0.105 (0.022)","0.998 (0.01)","1.846 (0.683)","0.617 (0.211)"
