"","phase","objFun","maxGrad","nPar","convCode","convMsg","time"
"1","1",2176.39242811353,0.000975588897603075,14,0,"relative convergence (4)",0.0475166666667064
"2","2",2169.01325061872,0.00435606806681221,24,0,"relative convergence (4)",0.0283166666666754
"3","3",1764.31924760632,0.00497792363911742,219,0,"relative convergence (4)",0.0316666666665697
"4","4",1460.2203507289,0.00108440142965804,372,0,"relative convergence (4)",0.0454333333333731
"5","5",1459.04117879756,0.00617581666045908,375,0,"relative convergence (4)",0.0391166666666929
"6","6",1441.21956626312,0.00799952484152566,379,0,"relative convergence (4)",0.0486999999999777
"7","7",1437.34596051595,0.0247151063306577,382,0,"relative convergence (4)",0.0481833333332664
"8","8",1258.80655567235,0.0299032854592536,385,0,"relative convergence (4)",0.0608166666667482
"9","9",1235.04707226011,0.0060673209083042,389,0,"relative convergence (4)",0.0447666666666919
"10","10",1234.1324638815,0.0762906265163288,393,0,"relative convergence (4)",0.0518833333332926
"11","RE",NA,NA,NA,NA,NA,NA
