"","Stock","$B_0$","$R_0$","$R_{init}$","$\overline{R}$","$M_0$","$\overline{M}$","$q_s$","$q_d$","$B_{2019}$","$B_{2019}/B_0$"
"1","C/S","18.317 (6.185)","1172.378 (338.964)","463 (463)","532 (112)","0.504 (0.043)","0.809 (0.053)","0.246 (0.045)","0.998 (0.01)","1.601 (0.316)","0.094 (0.028)"
"2","JP/S","93.731 (27.282)","3838.447 (1055.567)","1857 (1857)","1859 (339)","0.446 (0.038)","0.7 (0.034)","0.183 (0.027)","0.996 (0.01)","7.741 (1.389)","0.089 (0.028)"
"3","Lou","8.84 (2.093)","284.784 (97.06)","966 (966)","183 (54)","0.502 (0.043)","0.636 (0.055)","0.108 (0.019)","0.998 (0.009)","1.296 (0.285)","0.152 (0.04)"
