"","phase","objFun","maxGrad","nPar","convCode","convMsg","time"
"1","1",2203.6257526015,0.00413518993626229,14,0,"relative convergence (4)",0.0460500000000138
"2","2",2192.77926375258,0.00621014045042045,24,0,"relative convergence (4)",0.0226166666666662
"3","3",1831.85967577999,0.0108786745601108,92,0,"relative convergence (4)",0.0292999999999968
"4","4",1396.89304378824,0.00458484397616132,245,0,"relative convergence (4)",0.0318833333333411
"5","5",1390.67054774591,0.00253453448776142,248,0,"relative convergence (4)",0.0423333333333176
"6","6",1340.87092505487,0.00535618618800093,252,0,"relative convergence (4)",0.0510166666666919
"7","7",1334.79705872232,0.00860544216423342,255,0,"relative convergence (4)",0.0470500000000053
"8","8",1322.58379812634,0.020075682625869,258,0,"relative convergence (4)",0.048616666666688
"9","9",1298.17144251764,0.0239578186461884,262,0,"relative convergence (4)",0.0344500000000153
"10","10",1297.2507553684,0.0294577936014555,266,0,"relative convergence (4)",0.0393666666666832
"11","RE",NA,NA,NA,NA,NA,NA
