"","Stock","$B_0$","$R_0$","$R_{init}$","$\overline{R}$","$M_0$","$\overline{M}$","$q_s$","$q_d$","$B_{2019}$","$B_{2019}/B_0$"
"1","C/S","10.231 (2.053)","927.702 (236.181)","507 (507)","642 (172)","0.496 (0.046)","0.89 (0.068)","0.249 (0.05)","0.998 (0.01)","1.26 (0.357)","0.126 (0.038)"
"2","JP/S","57.503 (9.969)","2652.423 (549.708)","1759 (1759)","2012 (396)","0.448 (0.04)","0.726 (0.037)","0.205 (0.031)","0.997 (0.01)","7.009 (1.869)","0.125 (0.037)"
"3","Lou","5.527 (1.223)","324.88 (115.698)","909 (909)","241 (93)","0.474 (0.042)","0.772 (0.084)","0.103 (0.02)","0.998 (0.01)","1.847 (0.619)","0.342 (0.114)"
