"","simLabel","scenario","mp","species","stock","projObsErrMult","nGoodReps","medProbPDH_sp","pGoodReps","pBtGt.3B0","pBtGt.5B0","pBtGt.6B0","pCtGt650t","pUtGt.1HR","avgUtGt0.1HR","nYrsSOK","avgLicSOK","avgPonded_t","avgSOK_t","pondAAV","nYrsComm","avgCatch_t","catchAAV"
"1","sim_bat8","rw15_hiPondM","cSOK+SR_0.1HR_spatialMP","HG Herring","C/S",1,100,0,1,0.6,0.29,0.22,NA,0.007,0.12,3.6,0.2,25.5,1.7,124.6,0,0,0
"2","sim_bat8","rw15_hiPondM","cSOK+SR_0.1HR_spatialMP","HG Herring","JP/S",1,100,0,1,0.7,0.26,0.16,NA,0.209,0.16,4.9,2.9,309.5,21.2,108.7,1.8,114.4,129.4
"3","sim_bat8","rw15_hiPondM","cSOK+SR_0.1HR_spatialMP","HG Herring","Lou",1,100,0,1,0.97,0.71,0.49,NA,0,NA,0,0,0,0,0,0,0,0
