"","Stock","$B_0$","$R_0$","$R_{init}$","$\overline{R}$","$M_0$","$\overline{M}$","$q_s$","$q_d$","$B_{2019}$","$B_{2019}/B_0$"
"1","C/S","4.188 (0.581)","263 (77)","190 (190)","234 (64)","0.498 (0.04)","0.809 (0.053)","0.262 (0.044)","0.998 (0.01)","1.736 (0.31)","0.419 (0.079)"
"2","JP/S","17.909 (2.262)","740 (167)",NA,"732 (172)","0.447 (0.037)","0.703 (0.035)","0.207 (0.029)","0.996 (0.01)","8.132 (1.436)","0.459 (0.089)"
"3","Lou","2.12 (0.365)","60 (21)","376 (376)","63 (22)","0.501 (0.042)","0.62 (0.051)","0.111 (0.017)","0.998 (0.01)","1.407 (0.299)","0.669 (0.118)"
