"","phase","objFun","maxGrad","nPar","convCode","convMsg","time"
"1","1",1222.51509753452,0.00273573315170128,9,0,"relative convergence (4)",0.0172166666666669
"2","2",1220.65035078752,0.00100260119914908,19,0,"relative convergence (4)",0.00975000000000061
"3","3",1135.44400492027,0.000182209207968409,87,0,"relative convergence (4)",0.0109833333333332
"4","4",807.88428241134,0.000411123531557145,255,0,"relative convergence (4)",0.0152000000000006
"5","5",803.32532388252,0.000179914802435732,258,0,"relative convergence (4)",0.013966666666668
"6","6",798.012085912449,0.000782924614372682,262,0,"relative convergence (4)",0.0157333333333346
"7","7",793.587723073031,0.00108610116606089,265,0,"relative convergence (4)",0.0159333333333336
"8","8",557.859682137507,0.00127593966880424,272,0,"relative convergence (4)",0.0246333333333325
"9","9",553.357506736599,0.0067995429801414,277,0,"relative convergence (4)",0.0228333333333334
"10","RE",NA,NA,NA,NA,NA,NA
