"","Stock","$B_0$","$R_0$","$R_{init}$","$\overline{R}$","$M_0$","$\overline{M}$","$q_s$","$q_d$","$B_{2019}$","$B_{2019}/B_0$"
"1","C/S","4.223 (0.814)","261.729 (80.689)","174 (174)","208 (61)","0.488 (0.04)","0.792 (0.055)","0.261 (0.051)","0.998 (0.01)","1.42 (0.29)","0.344 (0.079)"
"2","JP/S","18.94 (3.145)","781.178 (190.556)","664 (664)","729 (168)","0.443 (0.033)","0.698 (0.035)","0.202 (0.029)","0.997 (0.01)","7.464 (1.434)","0.403 (0.093)"
"3","Lou","1.857 (0.346)","56.545 (20.29)","309 (309)","53 (19)","0.483 (0.04)","0.621 (0.05)","0.119 (0.021)","0.998 (0.01)","1.075 (0.232)","0.587 (0.12)"
