"","Stock","$B_0$","$R_0$","$R_{init}$","$\overline{R}$","$M_0$","$\overline{M}$","$q_s$","$q_d$","$B_{2019}$","$B_{2019}/B_0$"
"1","C/S","12.275 (2.412)","784.54 (185.163)","426 (426)","506 (106)","0.493 (0.04)","0.804 (0.053)","0.256 (0.048)","0.998 (0.009)","1.45 (0.288)","0.121 (0.029)"
"2","JP/S","63.636 (11.296)","2621.307 (557.053)","1718 (1718)","1824 (348)","0.443 (0.034)","0.699 (0.035)","0.199 (0.029)","0.997 (0.01)","7.385 (1.382)","0.119 (0.027)"
"3","Lou","6.892 (1.317)","210.69 (58.936)","914 (914)","161 (47)","0.489 (0.04)","0.625 (0.051)","0.116 (0.02)","0.998 (0.01)","1.129 (0.26)","0.166 (0.037)"
