"","Stock","$B_0$","$R_0$","$R_{init}$","$\overline{R}$","$M_0$","$\overline{M}$","$q_s$","$q_d$","$B_{2019}$","$B_{2019}/B_0$"
"1","C/S","10.401 (1.712)","648.724 (138.759)","407 (407)","496 (100)","0.488 (0.038)","0.798 (0.049)","0.262 (0.049)","0.998 (0.01)","1.436 (0.295)","0.14 (0.031)"
"2","JP/S","52.726 (7.663)","2212.152 (439.522)","1701 (1701)","1895 (349)","0.446 (0.038)","0.703 (0.034)","0.204 (0.03)","0.996 (0.011)","7.366 (1.333)","0.142 (0.029)"
"3","Lou","5.899 (1.044)","176.04 (50.14)","882 (882)","153 (45)","0.486 (0.039)","0.619 (0.053)","0.121 (0.022)","0.998 (0.01)","1.082 (0.256)","0.185 (0.039)"
