"","phase","objFun","maxGrad","nPar","convCode","convMsg","time"
"1","1",2170.60972743857,0.00506899743020028,14,0,"relative convergence (4)",0.0359166666666776
"2","2",2159.55710908237,0.00662624474519335,24,0,"relative convergence (4)",0.0213999999999942
"3","3",1834.01079334182,0.00628547828340231,92,0,"relative convergence (4)",0.0252500000000206
"4","4",1440.91069680026,0.00716422717117382,245,0,"relative convergence (4)",0.0347999999999956
"5","5",1433.36628612785,0.0018852366017228,248,0,"relative convergence (4)",0.0313333333333503
"6","6",1398.56465251651,0.0117810852221372,252,0,"relative convergence (4)",0.0403833333333447
"7","7",1394.71008896012,0.0079703667839961,255,0,"relative convergence (4)",0.0420000000000073
"8","8",1305.71160760233,0.00307717124841108,258,0,"relative convergence (4)",0.0396166666666735
"9","9",1278.60409052848,0.00691550034341226,262,0,"relative convergence (4)",0.0419166666666873
"10","10",1277.51171042255,0.0145388466286924,266,0,"relative convergence (4)",0.0433833333333496
"11","RE",NA,NA,NA,NA,NA,NA
