"","Stock","$B_0$","$R_0$","$R_{init}$","$\overline{R}$","$M_0$","$\overline{M}$","$q_s$","$q_d$","$B_{2019}$","$B_{2019}/B_0$"
"1","C/S","10.386 (1.749)","656.76 (148.939)","412 (412)","501 (113)","0.488 (0.04)","0.8 (0.055)","0.262 (0.05)","0.998 (0.01)","1.411 (0.294)","0.138 (0.031)"
"2","JP/S","52.756 (8.031)","2183.726 (438.816)","1622 (1622)","1860 (363)","0.442 (0.037)","0.7 (0.033)","0.209 (0.03)","0.997 (0.01)","7.24 (1.344)","0.14 (0.029)"
"3","Lou","5.88 (1.091)","177.815 (49.124)","882 (882)","154 (43)","0.487 (0.039)","0.623 (0.05)","0.12 (0.022)","0.998 (0.01)","1.063 (0.245)","0.183 (0.038)"
