"","phase","objFun","maxGrad","nPar","convCode","convMsg","time"
"1","1",2169.00028954194,0.00762764256178627,14,0,"relative convergence (4)",0.0388666666666722
"2","2",2157.94767118151,0.00772676407423489,24,0,"relative convergence (4)",0.0216000000000046
"3","3",1832.40135543722,0.00811886540715534,92,0,"relative convergence (4)",0.0245999999999791
"4","4",1439.30125888553,0.0051058936104198,245,0,"relative convergence (4)",0.0334333333333234
"5","5",1431.75684822267,0.00174632535090861,248,0,"relative convergence (4)",0.0340833333333345
"6","6",1396.96211877555,0.0209906326723983,252,0,"relative convergence (4)",0.036800000000009
"7","7",1393.11065481755,0.0165566802482189,255,0,"relative convergence (4)",0.0398333333333236
"8","8",1304.15281106493,0.0252173382949259,258,0,"relative convergence (4)",0.0374333333333501
"9","9",1277.01052454131,0.0897095516992188,262,0,"relative convergence (4)",0.0373666666666698
"10","10",1275.91752321082,0.052786012222624,266,0,"relative convergence (4)",0.0396499999999833
"11","RE",NA,NA,NA,NA,NA,NA
