"","Stock","$B_0$","$R_0$","$R_{init}$","$\overline{R}$","$M_0$","$\overline{M}$","$q_s$","$q_d$","$B_{2019}$","$B_{2019}/B_0$"
"1","C/S","5.928 (1.074)","530.236 (143.34)","331 (331)","413 (127)","0.497 (0.051)","0.885 (0.068)","0.257 (0.047)","0.998 (0.01)","1.212 (0.366)","0.208 (0.063)"
"2","JP/S","33.497 (5.33)","1553.507 (311.995)","1131 (1131)","1379 (285)","0.443 (0.039)","0.727 (0.039)","0.209 (0.031)","0.997 (0.011)","6.953 (1.861)","0.21 (0.055)"
"3","Lou","3.281 (0.701)","188.776 (65.024)","607 (607)","154 (61)","0.474 (0.05)","0.767 (0.08)","0.104 (0.021)","0.998 (0.01)","1.866 (0.664)","0.576 (0.193)"
