"","Stock","$B_0$","$R_0$","$R_{init}$","$\overline{R}$","$M_0$","$\overline{M}$","$q_s$","$q_d$","$B_{2019}$","$B_{2019}/B_0$"
"1","C/S","4.076 (0.602)","271.967 (73.938)","184 (184)","224 (64)","0.494 (0.041)","0.81 (0.054)","0.255 (0.049)","0.998 (0.009)","1.404 (0.28)","0.349 (0.076)"
"2","JP/S","18.186 (2.485)","757.153 (177.783)","640 (640)","728 (161)","0.438 (0.034)","0.7 (0.036)","0.207 (0.031)","0.997 (0.009)","7.311 (1.349)","0.408 (0.085)"
"3","Lou","1.87 (0.334)","57.139 (18.396)","327 (327)","55 (18)","0.486 (0.038)","0.622 (0.049)","0.12 (0.022)","0.998 (0.011)","1.05 (0.244)","0.566 (0.112)"
