"","simLabel","scenario","mp","species","stock","projObsErrMult","nGoodReps","medProbPDH_sp","pGoodReps","pBtGt.3B0","pBtGt.5B0","pBtGt.6B0","pCtGt650t","pUtGt.1HR","avgUtGt0.1HR","nYrsSOK","avgLicSOK","avgSOK_t","avgPonded_t","pondAAV","nYrsComm","avgCatch_t","catchAAV","pBtGtHistSB","pBtGt.5HistSB","growthRate6yrs","growthRate11yrs","growthRate16yrs","B0","BtMP","DtMP","BhistT","DhistT","BnT","DnT"
"1305","sim_parBatHGherringGrid69","a1M1.25_sr0.5_diffM_rw15_loPondM","oSOK_HS30-100_HR0.1","HG Herring","C/S",1,100,0,1,0.19,0.069,0.046,NA,0,NA,1.5,1,7.3,104.7,77,0,0,0,0.009,0.063,0.01,0.021,0.046,7.095,1.147,0.163,0.959,0.134,1.758,0.239
"1306","sim_parBatHGherringGrid69","a1M1.25_sr0.5_diffM_rw15_loPondM","oSOK_HS30-100_HR0.1","HG Herring","JP/S",1,100,0,1,0.142,0.052,0.029,NA,0,NA,4,8.3,60.3,876,100,0,0,0,0,0.02,-0.064,-0.013,0.012,37.748,5.76,0.155,5.815,0.159,7.774,0.202
"1307","sim_parBatHGherringGrid69","a1M1.25_sr0.5_diffM_rw15_loPondM","oSOK_HS30-100_HR0.1","HG Herring","Lou",1,100,0,1,0.69,0.468,0.383,NA,0,NA,7,1,7.3,106.5,84.5,0,0,0,0.118,0.287,0.074,0.046,0.037,3.594,2.034,0.539,1.614,0.426,2.332,0.63
"1308","sim_parBatHGherringGrid69","a1M1.25_sr0.5_diffM_rw15_loPondM","oSOK_HS30-100_HR0.1","HG Herring","aggregate",1,100,0,1,0.183,0.042,0.019,0,0,NA,12,4,28.8,420.5,83.6,0,0,0,0,0.013,0.007,0.014,0.015,48.438,8.942,0.187,8.389,0.177,11.865,0.243
"1309","sim_parBatHGherringGrid7","a1M1.25_sr0.67_identM_rw15_loPondM","SR_HS30-100_HR0.1","HG Herring","C/S",1,100,0,1,0.435,0.177,0.121,NA,0,NA,0,0,0,0,0,0,0,0,0.023,0.145,0.058,0.052,0.052,7.14,1.912,0.265,1.51,0.209,3.243,0.445
"1310","sim_parBatHGherringGrid7","a1M1.25_sr0.67_identM_rw15_loPondM","SR_HS30-100_HR0.1","HG Herring","JP/S",1,100,0,1,0.236,0.055,0.031,NA,0.178,0.17,0,0,0,0,0,5,1035,121.6,0,0.017,0.002,0.042,0.032,35.734,6.623,0.189,6.771,0.194,10.916,0.304
"1311","sim_parBatHGherringGrid7","a1M1.25_sr0.67_identM_rw15_loPondM","SR_HS30-100_HR0.1","HG Herring","Lou",1,100,0,1,0.481,0.159,0.096,NA,0,NA,0,0,0,0,0,0,0,0,0.02,0.124,0.058,0.053,0.052,4.028,1.081,0.259,0.844,0.207,1.893,0.458
"1312","sim_parBatHGherringGrid7","a1M1.25_sr0.67_identM_rw15_loPondM","SR_HS30-100_HR0.1","HG Herring","aggregate",1,100,0,1,0.295,0.054,0.025,0.21,0.113,0.15,0,0,0,0,0,5,1035,121.6,0,0.013,0.021,0.037,0.038,46.902,9.616,0.207,9.126,0.197,16.052,0.342
"1313","sim_parBatHGherringGrid70","a1M1.25_sr0.5_diffM_rw15_loPondM","NoFish","HG Herring","C/S",1,100,0,1,0.192,0.071,0.046,NA,0,NA,0,0,0,0,0,0,0,0,0.009,0.065,0.01,0.022,0.047,7.095,1.147,0.163,0.959,0.134,1.784,0.243
"1314","sim_parBatHGherringGrid70","a1M1.25_sr0.5_diffM_rw15_loPondM","NoFish","HG Herring","JP/S",1,100,0,1,0.156,0.057,0.031,NA,0,NA,0,0,0,0,0,0,0,0,0.001,0.023,-0.05,-0.009,0.016,37.748,5.75,0.154,5.815,0.159,8.225,0.213
"1315","sim_parBatHGherringGrid70","a1M1.25_sr0.5_diffM_rw15_loPondM","NoFish","HG Herring","Lou",1,100,0,1,0.696,0.475,0.389,NA,0,NA,0,0,0,0,0,0,0,0,0.118,0.29,0.075,0.047,0.038,3.594,2.034,0.539,1.614,0.426,2.37,0.64
