"","RP","$N_{SOK}$","$\bar{L}_{SOK}$","$\bar{K}$","$\bar{P}$","$AAV(P_t)$","$N_{SR}$","$\bar{C}$","$AAV(C_t)$","$P(U_t > .1)$","$\mathbb{E}(U_t \vert U_t > .1)$"
"1","NoFish",0,0,0,0,0,0,0,0,0,NA
"2","oSOK\_HS30-100\_HR0.1",10,4.8,35.1,509,100.3,0,0,0,0.003,0.13
"3","cSOK\_HS30-100\_HR0.1",8,4.1,29.9,434.4,114.1,0,0,0,0.001,0.11
"4","cSOK+SR\_HS30-100\_HR0.1",8,4.1,29.4,428.8,113.9,1,1175.1,128.9,0.068,0.16
"5","SR\_HS30-100\_HR0.1",0,0,0,0,0,3,1221,147,0.066,0.16
