"","RP","$P(B_t \geq 0.3 B_0)$","$P(B_t \geq 0.5 B_0)$","$P(B_t \geq B_0)$","$P(B_t \geq 0.5 B_{1975:1985})$","$P(B_t \geq B_{1975:1985})$","$\Gamma(2019,2024)$","$\Gamma(2019,2029)$","$\Gamma(2019,2034)$","$B_{2034}$"
"1","NoFish",0.002,0,0,0.011,0.001,-5.6,-1.7,-0.6,8
"2","oSOK\_HS30-100\_HR0.1",0.002,0,0,0.01,0.001,-5.7,-1.8,-0.7,7.8
"3","cSOK\_HS30-100\_HR0.1",0.002,0,0,0.01,0,-5.7,-1.8,-0.7,7.8
"4","cSOK+SR\_HS30-100\_HR0.1",0.001,0,0,0.008,0,-5.7,-1.8,-0.8,7.7
"5","SR\_HS30-100\_HR0.1",0.001,0,0,0.008,0,-5.6,-1.8,-0.8,7.7
