"","RP","$N_{SOK}$","$\bar{L}_{SOK}$","$\bar{K}$","$\bar{P}$","$AAV(P_t)$","$N_{SR}$","$\bar{C}$","$AAV(C_t)$","$P(U_t > .1)$","$\mathbb{E}(U_t \vert U_t > .1)$"
"1","NoFish",0,0,0,0,0,0,0,0,0,NA
"2","oSOK\_HS30-100\_HR0.1",3,1,16.1,106.7,133.7,0,0,0,0.015,0.14
"3","cSOK\_HS30-100\_HR0.1",2,1,16.1,106.1,111.4,0,0,0,0.006,0.13
"4","cSOK+SR\_HS30-100\_HR0.1",2,1,16.1,106.1,111.4,0,0,0,0.015,0.16
"5","SR\_HS30-100\_HR0.1",0,0,0,0,0,0,0,0,0.014,0.16
