"","simLabel","scenario","mp","species","stock","projObsErrMult","nGoodReps","medProbPDH_sp","pGoodReps","pBtGt.3B0","pBtGt.5B0","pBtGt.6B0","pBtGtB0","pCtGt650t","pUtGt.1HR","avgUtGt0.1HR","nYrsSOK","avgLicSOK","avgSOK_t","avgPonded_t","pondAAV","nYrsComm","avgCatch_t","catchAAV","pBtGtHistSB","pBtGt.5HistSB","growthRate6yrs","growthRate11yrs","growthRate16yrs","B0","B7585","BtMP","DtMP","BhistT","DhistT","BnT","DnT"
"547","sim_parBatHGHerringGrid_Nov3_221","a1M1.64_sr0.8_identM_rw15_hiPondM","cSOK_HS30-100_HR0.1","HG Herring","Lou",1,100,0,1,0.2,0.037,0.019,0.004,NA,0.017,0.12,1.5,1,7.3,105.6,108.5,0,0,0,0.005,0.1,0.051,0.055,0.052,5.602,4.86,0.918,0.162,0.747,0.131,1.631,0.294
"548","sim_parBatHGHerringGrid_Nov3_221","a1M1.64_sr0.8_identM_rw15_hiPondM","cSOK_HS30-100_HR0.1","HG Herring","aggregate",1,100,0,1,0.125,0.019,0.007,0,0,0.005,0.11,6,3.3,23.9,348.3,141.2,0,0,0,0.001,0.021,0.035,0.047,0.048,67.544,66.644,9.758,0.145,8.83,0.132,17.175,0.253
"549","sim_parBatHGHerringGrid_Nov3_222","a1M1.64_sr0.8_identM_rw15_hiPondM","SR_HS30-100_HR0.1","HG Herring","C/S",1,100,0,1,0.224,0.065,0.035,0.004,NA,0,NA,0,0,0,0,0,0,0,0,0.026,0.143,0.054,0.048,0.053,10.276,8.365,1.846,0.176,1.532,0.145,3.056,0.297
"550","sim_parBatHGHerringGrid_Nov3_222","a1M1.64_sr0.8_identM_rw15_hiPondM","SR_HS30-100_HR0.1","HG Herring","JP/S",1,100,0,1,0.117,0.021,0.011,0,NA,0.053,0.18,0,0,0,0,0,1.5,731.7,130.3,0.002,0.019,0.02,0.053,0.041,51.665,53.419,6.994,0.137,6.551,0.129,12.046,0.232
"551","sim_parBatHGHerringGrid_Nov3_222","a1M1.64_sr0.8_identM_rw15_hiPondM","SR_HS30-100_HR0.1","HG Herring","Lou",1,100,0,1,0.211,0.04,0.02,0.004,NA,0,NA,0,0,0,0,0,0,0,0,0.006,0.105,0.056,0.055,0.053,5.602,4.86,0.918,0.162,0.747,0.131,1.673,0.301
"552","sim_parBatHGHerringGrid_Nov3_222","a1M1.64_sr0.8_identM_rw15_hiPondM","SR_HS30-100_HR0.1","HG Herring","aggregate",1,100,0,1,0.113,0.017,0.005,0,0.09,0.037,0.17,0,0,0,0,0,1.5,731.7,130.3,0.001,0.018,0.036,0.042,0.044,67.544,66.644,9.758,0.145,8.83,0.132,16.774,0.248
"553","sim_parBatHGHerringGrid_Nov3_223","a1M1.64_sr0.8_identM_rw15_hiPondM","cSOK+SR_HS30-100_HR0.1","HG Herring","C/S",1,100,0,1,0.219,0.061,0.034,0.004,NA,0.001,0.15,1,1,7.3,105,118.9,0,0,0,0.025,0.14,0.052,0.047,0.052,10.276,8.365,1.846,0.176,1.532,0.145,3.023,0.294
"554","sim_parBatHGHerringGrid_Nov3_223","a1M1.64_sr0.8_identM_rw15_hiPondM","cSOK+SR_HS30-100_HR0.1","HG Herring","JP/S",1,100,0,1,0.12,0.021,0.011,0,NA,0.057,0.17,2,4.8,35.2,516,145.6,0,0,0,0.002,0.019,0.019,0.053,0.042,51.665,53.419,6.994,0.137,6.551,0.129,12.104,0.233
"555","sim_parBatHGHerringGrid_Nov3_223","a1M1.64_sr0.8_identM_rw15_hiPondM","cSOK+SR_HS30-100_HR0.1","HG Herring","Lou",1,100,0,1,0.2,0.037,0.019,0.004,NA,0.017,0.12,1.5,1,7.3,105.6,108.5,0,0,0,0.005,0.1,0.051,0.055,0.052,5.602,4.86,0.918,0.162,0.747,0.131,1.631,0.294
"556","sim_parBatHGHerringGrid_Nov3_223","a1M1.64_sr0.8_identM_rw15_hiPondM","cSOK+SR_HS30-100_HR0.1","HG Herring","aggregate",1,100,0,1,0.113,0.017,0.005,0,0.05,0.042,0.18,6,3.3,23.9,348.3,141.3,0,0,0,0.001,0.018,0.035,0.042,0.045,67.544,66.644,9.758,0.145,8.83,0.132,16.758,0.248
