"","RP","$P(B_t \geq 0.3 B_0)$","$P(B_t \geq 0.5 B_0)$","$P(B_t \geq B_0)$","$P(B_t \geq 0.5 B_{1975:1985})$","$P(B_t \geq B_{1975:1985})$","$\Gamma(2019,2024)$","$\Gamma(2019,2029)$","$\Gamma(2019,2034)$","$B_{2034}$"
"1","NoFish",0.98,0.82,0.26,0.08,0,9.9,7.7,5,19.3
"2","oSOK\_HS30-100\_HR0.1",0.98,0.82,0.26,0.08,0,9.9,7.7,4.9,19.3
"3","cSOK\_HS30-100\_HR0.1",0.98,0.81,0.25,0.08,0,9.6,7.5,4.9,19.1
"4","cSOK+SR\_HS30-100\_HR0.1",0.98,0.81,0.22,0.07,0,9.2,7.5,4.6,18.5
"5","SR\_HS30-100\_HR0.1",0.98,0.8,0.22,0.07,0,9.3,7.4,4.6,18.3
