"","RP","$P(B_t \geq 0.3 B_0)$","$P(B_t \geq 0.5 B_0)$","$P(B_t \geq B_0)$","$P(B_t \geq 0.5 B_{1975:1985})$","$P(B_t \geq B_{1975:1985})$","$\Gamma(2019,2024)$","$\Gamma(2019,2029)$","$\Gamma(2019,2034)$","$B_{2034}$"
"1","NoFish",0.5,0.27,0.05,0.04,0,5.1,5.5,4.3,17.7
"2","oSOK\_HS30-100\_HR0.1",0.5,0.27,0.05,0.04,0,5.1,5.5,4.2,17.5
"3","cSOK\_HS30-100\_HR0.1",0.49,0.26,0.05,0.04,0,4.9,5.3,4.2,17.3
"4","cSOK+SR\_HS30-100\_HR0.1",0.48,0.25,0.04,0.03,0,4.7,5,4,16.8
"5","SR\_HS30-100\_HR0.1",0.48,0.25,0.04,0.03,0,4.6,5,4,16.7
