"","Stock","$B_0$","$R_0$","$R_{init}$","$\overline{R}$","$M_0$","$\overline{M}$","$q_s$","$q_d$","$B_{2019}$","$B_{2019}/B_0$"
"1","C/S","4.246 (0.755)","266.405 (78.558)","176 (176)","212 (57)","0.489 (0.04)","0.796 (0.054)","0.258 (0.05)","0.998 (0.01)","1.443 (0.28)","0.347 (0.079)"
"2","JP/S","18.822 (3.06)","770.631 (185.512)","643 (643)","709 (159)","0.444 (0.037)","0.696 (0.034)","0.204 (0.029)","0.997 (0.01)","7.373 (1.379)","0.399 (0.088)"
"3","Lou","1.906 (0.366)","58.354 (19.901)","314 (314)","58 (20)","0.487 (0.04)","0.622 (0.05)","0.118 (0.021)","0.998 (0.011)","1.116 (0.257)","0.592 (0.119)"
