"","phase","objFun","maxGrad","nPar","convCode","convMsg","time"
"1","1",2232.92348697631,0.00035475327331369,14,0,"relative convergence (4)",0.0428166666666667
"2","2",2224.63675626639,0.0130948614197095,24,0,"relative convergence (4)",0.01645
"3","3",1915.00837765076,0.00360490149860482,92,0,"relative convergence (4)",0.0184333333333333
"4","4",1516.82936280906,0.00500131084600497,245,0,"relative convergence (4)",0.0260333333333334
"5","5",1503.14903101061,0.00250232166269626,248,0,"relative convergence (4)",0.0253166666666667
"6","6",1477.05735017273,0.0105384354614051,252,0,"relative convergence (4)",0.0310833333333333
"7","7",1469.65127282661,0.0422893766889274,255,0,"relative convergence (4)",0.0288166666666667
"8","8",1306.57818350976,0.0108152983980236,258,0,"relative convergence (4)",0.0303666666666667
"9","9",1279.85003977668,0.0218234181865817,262,0,"relative convergence (4)",0.03085
"10","10",1278.77963319926,0.00249736066222006,266,0,"relative convergence (4)",0.03025
"11","RE",NA,NA,NA,NA,NA,NA
