"","Stock","$B_0$","$R_0$","$R_{init}$","$\overline{R}$","$M_0$","$\overline{M}$","$q_s$","$q_d$","$B_{2019}$","$B_{2019}/B_0$"
"1","C/S","5.4 (0.84)","501.443 (130.523)","328 (328)","422 (119)","0.496 (0.047)","0.894 (0.07)","0.266 (0.052)","0.999 (0.01)","1.172 (0.352)","0.22 (0.068)"
"2","JP/S","30.988 (4.019)","1434.444 (288.887)","1158 (1158)","1335 (283)","0.444 (0.044)","0.726 (0.038)","0.213 (0.033)","0.997 (0.01)","6.914 (1.793)","0.226 (0.064)"
"3","Lou","3.007 (0.584)","183.808 (61.277)","589 (589)","157 (54)","0.471 (0.043)","0.78 (0.073)","0.106 (0.023)","0.998 (0.011)","1.827 (0.659)","0.615 (0.215)"
