"","phase","objFun","maxGrad","nPar","convCode","convMsg","time"
"1","1",2178.00186602572,0.000470420108371172,14,0,"relative convergence (4)",0.0347833333333256
"2","2",2170.62268857551,0.010472805804902,24,0,"relative convergence (4)",0.0199500000000019
"3","3",1765.92868550323,0.00571528792783482,219,0,"relative convergence (4)",0.0238666666666783
"4","4",1461.82978864299,0.0041934860313404,372,0,"relative convergence (4)",0.0371166666666492
"5","5",1460.65061669863,0.00665678135769099,375,0,"relative convergence (4)",0.033166666666754
"6","6",1442.82884329632,0.00782762134885129,379,0,"relative convergence (4)",0.0403333333333042
"7","7",1438.95453419056,0.00600557425863979,382,0,"relative convergence (4)",0.0391166666666929
"8","8",1260.39956049832,0.00722513718871376,385,0,"relative convergence (4)",0.0467166666666647
"9","9",1236.64637652761,0.0158277916972018,389,0,"relative convergence (4)",0.0394166666666327
"10","10",1235.73195408155,0.00285844997360662,393,0,"relative convergence (4)",0.038366666666722
"11","RE",NA,NA,NA,NA,NA,NA
