"","Stock","$B_0$","$R_0$","$R_{init}$","$\overline{R}$","$M_0$","$\overline{M}$","$q_s$","$q_d$","$B_{2019}$","$B_{2019}/B_0$"
"1","C/S","3.871 (0.551)","260.798 (76.875)","186 (186)","227 (66)","0.49 (0.04)","0.811 (0.057)","0.257 (0.051)","0.998 (0.01)","1.396 (0.283)","0.365 (0.078)"
"2","JP/S","17.814 (2.394)","744.746 (170.119)","626 (626)","724 (177)","0.441 (0.036)","0.701 (0.037)","0.21 (0.031)","0.997 (0.01)","7.238 (1.4)","0.411 (0.084)"
"3","Lou","1.842 (0.292)","57.876 (19.237)","331 (331)","56 (20)","0.491 (0.039)","0.628 (0.053)","0.122 (0.02)","0.998 (0.01)","1.053 (0.252)","0.574 (0.114)"
