"","dataScenario","modelHyp","Stock","$B_0$","$R_0$","$R_{init}$","$F_{init}$","$M_0$","$\overline{M}$","$q_s$","$q_d$","pdHess"
"1","HG_multistock","juveMmean_steep0.8_identMDevs","C/S",3.931,269.461,189.456,0,0.498,0.822,0.275,0.998,TRUE
"2","HG_multistock","juveMmean_steep0.8_identMDevs","JP/S",17.027,756.028,659.705,0,0.445,0.718,0.221,0.997,TRUE
"3","HG_multistock","juveMmean_steep0.8_identMDevs","Lou",1.971,56.884,331.156,0,0.495,0.616,0.122,0.998,TRUE
