"","Stock","$B_0$","$R_0$","$R_{init}$","$\overline{R}$","$M_0$","$\overline{M}$","$q_s$","$q_d$","$B_{2019}$","$B_{2019}/B_0$"
"1","C/S","3.258 (0.485)","236.177 (72.484)","176 (176)","211 (66)","0.481 (0.045)","0.829 (0.062)","0.3 (0.053)","0.998 (0.009)","1.071 (0.316)","0.333 (0.101)"
"2","JP/S","15.982 (2.029)","653.117 (136.939)","429 (429)","646 (140)","0.433 (0.04)","0.696 (0.034)","0.237 (0.035)","0.998 (0.01)","6.423 (1.757)","0.406 (0.113)"
"3","Lou","1.524 (0.285)","62.912 (26.735)","220 (220)","54 (26)","0.448 (0.041)","0.683 (0.074)","0.129 (0.026)","0.999 (0.01)","1.571 (0.549)","1.038 (0.33)"
