"","phase","objFun","maxGrad","nPar","convCode","convMsg","time"
"1","1",2170.6163293545,0.00463926013271987,14,0,"relative convergence (4)",0.0342000000000553
"2","2",2162.78286702931,0.00831121359673404,24,0,"relative convergence (4)",0.0184333333333295
"3","3",1725.38265169397,0.00514901967468973,219,0,"relative convergence (4)",0.0242666666667598
"4","4",1387.36943783003,0.00353559786377389,372,0,"relative convergence (4)",0.0342999999999544
"5","5",1386.69225056519,0.0135134010670367,375,0,"relative convergence (4)",0.0315666666666705
"6","6",1338.36284917729,0.00576282311290743,379,0,"relative convergence (4)",0.0406499999999748
"7","7",1331.72696415726,0.0036458926184606,382,0,"relative convergence (4)",0.0428166666667191
"8","8",1273.37983515553,0.0118518763921429,385,0,"relative convergence (4)",0.0463333333333139
"9","9",1251.12044660252,0.00897756067141842,389,0,"relative convergence (4)",0.0407000000000456
"10","10",1250.2942779729,0.0264624633696755,393,0,"relative convergence (4)",0.039483333333313
"11","RE",NA,NA,NA,NA,NA,NA
