"","Stock","$B_0$","$R_0$","$R_{init}$","$\overline{R}$","$M_0$","$\overline{M}$","$q_s$","$q_d$","$B_{2019}$","$B_{2019}/B_0$"
"1","C/S","7.166 (1.757)","604.138 (166.939)","336 (336)","409 (109)","0.497 (0.045)","0.873 (0.068)","0.251 (0.049)","0.998 (0.01)","1.303 (0.372)","0.189 (0.061)"
"2","JP/S","38.751 (7.711)","1817.734 (383.485)","1194 (1194)","1367 (273)","0.449 (0.041)","0.731 (0.039)","0.199 (0.03)","0.997 (0.01)","7.114 (1.854)","0.189 (0.056)"
"3","Lou","3.669 (0.829)","198.045 (67.362)","571 (571)","151 (56)","0.474 (0.043)","0.753 (0.081)","0.105 (0.02)","0.998 (0.011)","1.837 (0.627)","0.514 (0.183)"
