"","dataScenario","modelHyp","Stock","$B_0$","$R_0$","$R_{init}$","$F_{init}$","$M_0$","$\overline{M}$","$q_s$","$q_d$","pdHess"
"1","HG_multistock","juveM1.25_steep0.5_diffMDevs","C/S",7.324,635.907,353.222,0,0.514,0.881,0.266,0.998,TRUE
"2","HG_multistock","juveM1.25_steep0.5_diffMDevs","JP/S",33.357,1762.104,1239.245,0,0.45,0.759,0.216,0.997,TRUE
"3","HG_multistock","juveM1.25_steep0.5_diffMDevs","Lou",4.055,238.815,561.193,0,0.474,0.778,0.103,0.998,TRUE
