"","Stock","$B_0$","$R_0$","$R_{init}$","$\overline{R}$","$M_0$","$\overline{M}$","$q_s$","$q_d$","$B_{2019}$","$B_{2019}/B_0$"
"1","C/S","3.737 (0.6)","337.314 (105.253)","222 (222)","287 (86)","0.494 (0.047)","0.883 (0.061)","0.264 (0.05)","0.998 (0.009)","1.149 (0.335)","0.311 (0.091)"
"2","JP/S","17.347 (2.453)","797.44 (188.26)","651 (651)","768 (185)","0.443 (0.042)","0.723 (0.037)","0.216 (0.032)","0.997 (0.011)","6.794 (1.848)","0.396 (0.109)"
"3","Lou","1.794 (0.333)","107.916 (52.03)","362 (362)","91 (51)","0.47 (0.04)","0.767 (0.083)","0.105 (0.02)","0.998 (0.011)","1.827 (0.621)","1.026 (0.321)"
