"","phase","objFun","maxGrad","nPar","convCode","convMsg","time"
"1","1",2272.77731950944,0.000464654094884977,14,0,"relative convergence (4)",0.0404333333333246
"2","2",2267.17279170223,0.0161833096283459,24,0,"relative convergence (4)",0.020566666666673
"3","3",1815.54788357204,0.00387782248757418,219,0,"relative convergence (4)",0.023000000000017
"4","4",1512.37657875358,0.003590595001981,372,0,"relative convergence (4)",0.0316166666666807
"5","5",1509.74951368016,0.00196842117922813,375,0,"relative convergence (4)",0.0295500000000175
"6","6",1507.86336928416,0.0198009606675686,379,0,"relative convergence (4)",0.0378333333333406
"7","7",1493.34225615513,0.0030444564076646,382,0,"relative convergence (4)",0.0371333333333799
"8","8",1260.10902829681,0.00418296283715111,385,0,"relative convergence (4)",0.0515666666666827
"9","9",1236.3128106766,0.0119401097905989,389,0,"relative convergence (4)",0.0429166666666788
"10","10",1235.399613977,0.0104064909886876,393,0,"relative convergence (4)",0.0444166666666206
"11","RE",NA,NA,NA,NA,NA,NA
