"","Stock","$B_0$","$R_0$","$R_{init}$","$\overline{R}$","$M_0$","$\overline{M}$","$q_s$","$q_d$","$B_{2019}$","$B_{2019}/B_0$"
"1","C/S","4.003 (0.593)","255.273 (68.689)","176 (176)","212 (55)","0.487 (0.039)","0.799 (0.05)","0.262 (0.051)","0.999 (0.01)","1.407 (0.284)","0.357 (0.079)"
"2","JP/S","18.058 (2.469)","751.303 (184.016)","627 (627)","720 (167)","0.442 (0.037)","0.699 (0.036)","0.21 (0.031)","0.997 (0.01)","7.282 (1.344)","0.409 (0.086)"
"3","Lou","1.874 (0.336)","58.915 (19.804)","322 (322)","57 (20)","0.488 (0.037)","0.628 (0.05)","0.12 (0.022)","0.998 (0.01)","1.067 (0.251)","0.575 (0.116)"
