"","Stock","$B_0$","$R_0$","$R_{init}$","$\overline{R}$","$M_0$","$\overline{M}$","$q_s$","$q_d$","$B_{2019}$","$B_{2019}/B_0$"
"1","C/S","18.458 (6.41)","1196.245 (370.62)","462 (462)","533 (122)","0.502 (0.041)","0.811 (0.054)","0.241 (0.044)","0.998 (0.01)","1.601 (0.319)","0.094 (0.03)"
"2","JP/S","92.178 (25.726)","3798.007 (1041.548)","1880 (1880)","1892 (378)","0.446 (0.038)","0.701 (0.034)","0.184 (0.027)","0.997 (0.01)","7.815 (1.418)","0.09 (0.026)"
"3","Lou","8.903 (2.34)","280.654 (84.078)","994 (994)","184 (50)","0.501 (0.04)","0.634 (0.05)","0.109 (0.021)","0.998 (0.01)","1.309 (0.301)","0.153 (0.042)"
