"","phase","objFun","maxGrad","nPar","convCode","convMsg","time"
"1","1",545.624851322359,6.5710221633708e-05,3,0,"relative convergence (4)",0.0061166666666395
"2","2",544.574863686472,8.83944201870435e-05,13,0,"relative convergence (4)",0.00406666666664629
"3","3",472.794010202005,7.25501910144311e-05,81,0,"relative convergence (4)",0.00430000000002716
"4","4",269.600613296514,0.000142022870699643,146,0,"relative convergence (4)",0.00608333333329938
"5","5",269.600613294659,7.21801796218502e-05,146,0,"relative convergence (4)",0.00400000000008731
"6","6",265.498723868874,0.000530335854114217,150,0,"relative convergence (4)",0.00683333333327027
"7","7",263.702150206628,0.000685186882233291,153,0,"relative convergence (4)",0.00703333333331102
"8","8",263.702150206403,0.000348680619891906,153,0,"relative convergence (4)",0.00408333333337699
"9","9",181.667515299164,0.00489402859379218,155,0,"relative convergence (4)",0.00971666666664532
"10","RE",NA,NA,NA,NA,NA,NA
