"","Stock","$B_0$","$R_0$","$R_{init}$","$\overline{R}$","$M_0$","$\overline{M}$","$q_s$","$q_d$","$B_{2019}$","$B_{2019}/B_0$"
"1","C/S","6.466 (0.976)","423.606 (98.231)","286 (286)","347 (82)","0.489 (0.037)","0.809 (0.057)","0.253 (0.046)","0.998 (0.01)","1.427 (0.297)","0.224 (0.048)"
"2","JP/S","32.633 (4.731)","1354.242 (250.007)","1107 (1107)","1246 (258)","0.439 (0.039)","0.701 (0.036)","0.21 (0.031)","0.996 (0.01)","7.182 (1.439)","0.223 (0.05)"
"3","Lou","3.752 (0.657)","114.926 (32.504)","602 (602)","109 (32)","0.489 (0.038)","0.625 (0.053)","0.121 (0.022)","0.998 (0.01)","1.077 (0.266)","0.289 (0.06)"
