"","phase","objFun","maxGrad","nPar","convCode","convMsg","time"
"1","1",2178.00186602572,0.000470420108371172,14,0,"relative convergence (4)",0.0299333333333379
"2","2",2170.62268857551,0.010472805804902,24,0,"relative convergence (4)",0.0170000000000073
"3","3",1880.75637081783,0.00464473167874502,92,0,"relative convergence (4)",0.0184666666666696
"4","4",1506.510079386,0.000563755247720898,245,0,"relative convergence (4)",0.0271499999999833
"5","5",1498.29512508798,0.00204145638301999,248,0,"relative convergence (4)",0.0264499999999922
"6","6",1472.96018817053,0.0146915428486555,252,0,"relative convergence (4)",0.0326166666666722
"7","7",1470.51939319369,0.00390765347600242,255,0,"relative convergence (4)",0.0293166666666669
"8","8",1305.22405201022,0.00313243824883536,258,0,"relative convergence (4)",0.0342166666666647
"9","9",1278.53408382425,0.00452347592240088,262,0,"relative convergence (4)",0.0340000000000146
"10","10",1276.94146128651,0.00370277084801884,266,0,"relative convergence (4)",0.0348499999999755
"11","RE",NA,NA,NA,NA,NA,NA
