"","phase","objFun","maxGrad","nPar","convCode","convMsg","time"
"1","1",2170.6163293545,0.00463926013271987,14,0,"relative convergence (4)",0.0404333333333333
"2","2",2162.78286702931,0.00831121359673404,24,0,"relative convergence (4)",0.017
"3","3",1841.8702255798,0.0133315471588844,92,0,"relative convergence (4)",0.0187333333333333
"4","4",1424.71897933564,0.00582523278842118,245,0,"relative convergence (4)",0.0272666666666667
"5","5",1420.26294859887,0.00467380224108638,248,0,"relative convergence (4)",0.0255333333333333
"6","6",1366.60763983985,0.00384405804261778,252,0,"relative convergence (4)",0.0306666666666667
"7","7",1362.04555866084,0.0417491139744373,255,0,"relative convergence (4)",0.0306666666666667
"8","8",1313.5172627502,0.00208423770420652,258,0,"relative convergence (4)",0.0301833333333333
"9","9",1287.82559230017,0.00363738760729504,262,0,"relative convergence (4)",0.0288166666666667
"10","10",1286.82746022401,0.00446728818482001,266,0,"relative convergence (4)",0.0293166666666667
"11","RE",NA,NA,NA,NA,NA,NA
