"","Stock","$B_0$","$R_0$","$R_{init}$","$\overline{R}$","$M_0$","$\overline{M}$","$q_s$","$q_d$","$B_{2019}$","$B_{2019}/B_0$"
"1","C/S","8.637 (2.246)","547.097 (135.1)","287 (287)","338 (73)","0.496 (0.039)","0.804 (0.052)","0.252 (0.047)","0.998 (0.01)","1.493 (0.296)","0.181 (0.049)"
"2","JP/S","44.272 (8.507)","1823.923 (393.675)","1209 (1209)","1297 (262)","0.444 (0.036)","0.7 (0.032)","0.194 (0.028)","0.997 (0.01)","7.735 (1.433)","0.179 (0.042)"
"3","Lou","4.625 (1.017)","140.868 (44.889)","617 (617)","110 (34)","0.494 (0.04)","0.624 (0.052)","0.114 (0.02)","0.998 (0.011)","1.176 (0.274)","0.26 (0.061)"
