"","Stock","$B_0$","$R_0$","$R_{init}$","$\overline{R}$","$M_0$","$\overline{M}$","$q_s$","$q_d$","$B_{2019}$","$B_{2019}/B_0$"
"1","C/S","8.642 (1.444)","791.195 (214.025)","482 (482)","628 (175)","0.495 (0.048)","0.89 (0.07)","0.262 (0.052)","0.998 (0.01)","1.196 (0.354)","0.141 (0.045)"
"2","JP/S","49.163 (7.417)","2257.35 (447.536)","1652 (1652)","1969 (399)","0.442 (0.041)","0.725 (0.037)","0.215 (0.032)","0.997 (0.01)","6.827 (1.803)","0.141 (0.038)"
"3","Lou","4.84 (0.985)","287.931 (98.316)","898 (898)","229 (89)","0.47 (0.044)","0.774 (0.082)","0.105 (0.022)","0.998 (0.01)","1.839 (0.643)","0.385 (0.127)"
