"","phase","objFun","maxGrad","nPar","convCode","convMsg","time"
"1","1",2176.23514184253,0.00538081501065737,14,0,"relative convergence (4)",0.0369666666666667
"2","2",2165.19571970873,0.00209751164339167,24,0,"relative convergence (4)",0.0165333333333333
"3","3",1823.69417866216,0.00814373313755112,92,0,"relative convergence (4)",0.0192833333333333
"4","4",1411.88001440111,0.00374405568213376,245,0,"relative convergence (4)",0.02645
"5","5",1405.66178958041,0.00339599366655839,248,0,"relative convergence (4)",0.0253
"6","6",1359.65299712821,0.0246370559571023,252,0,"relative convergence (4)",0.0329
"7","7",1354.95368936384,0.0175038570880659,255,0,"relative convergence (4)",0.0299666666666667
"8","8",1307.79863170621,0.0045645797308751,258,0,"relative convergence (4)",0.0306833333333334
"9","9",1281.40585113003,0.000957331454596755,262,0,"relative convergence (4)",0.03055
"10","10",1280.35148533839,0.0214853953666214,266,0,"relative convergence (4)",0.02985
"11","RE",NA,NA,NA,NA,NA,NA
