"","Stock","$B_0$","$R_0$","$R_{init}$","$\overline{R}$","$M_0$","$\overline{M}$","$q_s$","$q_d$","$B_{2019}$","$B_{2019}/B_0$"
"1","C/S","12.434 (2.437)","783.195 (173.731)","422 (422)","487 (107)","0.492 (0.038)","0.801 (0.05)","0.257 (0.046)","0.998 (0.01)","1.443 (0.283)","0.12 (0.03)"
"2","JP/S","62.897 (10.14)","2580.916 (504.917)","1626 (1626)","1833 (372)","0.443 (0.035)","0.699 (0.035)","0.2 (0.031)","0.997 (0.009)","7.427 (1.479)","0.12 (0.026)"
"3","Lou","6.923 (1.393)","215.688 (67.057)","909 (909)","163 (52)","0.492 (0.041)","0.629 (0.054)","0.114 (0.021)","0.997 (0.009)","1.158 (0.276)","0.17 (0.039)"
