"","Stock","$B_0$","$R_0$","$R_{init}$","$\overline{R}$","$M_0$","$\overline{M}$","$q_s$","$q_d$","$B_{2019}$","$B_{2019}/B_0$"
"1","C/S","3.949 (0.554)","256.841 (69.273)","179 (179)","219 (60)","0.489 (0.039)","0.804 (0.053)","0.259 (0.048)","0.998 (0.01)","1.429 (0.297)","0.365 (0.075)"
"2","JP/S","17.765 (2.458)","742.876 (161.464)","629 (629)","725 (160)","0.44 (0.036)","0.701 (0.034)","0.211 (0.031)","0.997 (0.01)","7.251 (1.408)","0.414 (0.089)"
"3","Lou","1.888 (0.309)","60.343 (19.819)","335 (335)","60 (20)","0.491 (0.04)","0.631 (0.052)","0.119 (0.022)","0.998 (0.009)","1.095 (0.268)","0.582 (0.113)"
