"","phase","objFun","maxGrad","nPar","convCode","convMsg","time"
"1","1",2289.72775481929,0.00283644626564694,14,0,"relative convergence (4)",0.0469333333333149
"2","2",2287.51224333949,0.00703138627028466,24,0,"relative convergence (4)",0.0206833333333331
"3","3",1964.17502909981,0.00379061651237578,92,0,"relative convergence (4)",0.0206000000000131
"4","4",1608.89150866902,0.00195600379104022,245,0,"relative convergence (4)",0.0372500000000097
"5","5",1590.06088944075,0.00170433382422241,248,0,"relative convergence (4)",0.0408666666666553
"6","6",1585.73580156738,0.0330508593584007,252,0,"relative convergence (4)",0.0466499999999845
"7","7",1576.46199317695,0.00599755836902993,255,0,"relative convergence (4)",0.0472166666666453
"8","8",1303.50785244475,0.00356430015904508,258,0,"relative convergence (4)",0.0545333333333474
"9","9",1276.82548774674,0.00758609172072688,262,0,"relative convergence (4)",0.0495000000000194
"10","10",1275.88265998985,0.023395693409471,266,0,"relative convergence (4)",0.0515000000000024
"11","RE",NA,NA,NA,NA,NA,NA
