"","Stock","$B_0$","$R_0$","$R_{init}$","$\overline{R}$","$M_0$","$\overline{M}$","$q_s$","$q_d$","$B_{2019}$","$B_{2019}/B_0$"
"1","C/S","4.074 (0.592)","261 (73)","183 (183)","225 (61)","0.494 (0.043)","0.812 (0.052)","0.254 (0.047)","0.998 (0.009)","1.418 (0.288)","0.353 (0.081)"
"2","JP/S","18.234 (2.846)","719 (174)","606 (606)","694 (156)","0.439 (0.035)","0.696 (0.035)","0.209 (0.032)","0.997 (0.01)","7.219 (1.322)","0.404 (0.091)"
"3","Lou","1.872 (0.337)","57 (18)","329 (329)","58 (18)","0.49 (0.038)","0.63 (0.047)","0.119 (0.021)","0.999 (0.009)","1.07 (0.244)","0.577 (0.114)"
