"","phase","objFun","maxGrad","nPar","convCode","convMsg","time"
"1","1",2176.23514184253,0.00538081501065737,14,0,"relative convergence (4)",0.0382499999999709
"2","2",2165.19571970873,0.00209751164339167,24,0,"relative convergence (4)",0.0217333333333348
"3","3",1714.29455914391,0.00735511537063616,219,0,"relative convergence (4)",0.0317500000000412
"4","4",1371.47694857532,0.00466404649649377,372,0,"relative convergence (4)",0.0383166666667118
"5","5",1370.49978348982,0.00288737108225234,375,0,"relative convergence (4)",0.0326666666666521
"6","6",1330.05810437972,0.00569357736223086,379,0,"relative convergence (4)",0.0413166666667166
"7","7",1323.13775197789,0.0473322187250558,382,0,"relative convergence (4)",0.0410833333333358
"8","8",1266.34120985387,0.00952086228936366,385,0,"relative convergence (4)",0.0463333333333139
"9","9",1243.45445142941,0.0400417932276405,389,0,"relative convergence (4)",0.0492499999999685
"10","10",1242.59247648508,0.00153766005695388,393,0,"relative convergence (4)",0.0424166666666982
"11","RE",NA,NA,NA,NA,NA,NA
