"","Stock","$B_0$","$R_0$","$R_{init}$","$\overline{R}$","$M_0$","$\overline{M}$","$q_s$","$q_d$","$B_{2019}$","$B_{2019}/B_0$"
"1","C/S","10.348 (2.078)","891.002 (238.538)","479 (479)","617 (149)","0.492 (0.043)","0.876 (0.066)","0.256 (0.048)","0.998 (0.01)","1.265 (0.351)","0.125 (0.037)"
"2","JP/S","56.764 (9.586)","2647.28 (567.768)","1805 (1805)","1975 (373)","0.448 (0.042)","0.728 (0.037)","0.204 (0.031)","0.997 (0.01)","6.858 (1.709)","0.124 (0.035)"
"3","Lou","5.391 (1.22)","299.511 (97.025)","877 (877)","226 (85)","0.473 (0.043)","0.76 (0.079)","0.107 (0.021)","0.999 (0.009)","1.796 (0.588)","0.34 (0.107)"
