"","phase","objFun","maxGrad","nPar","convCode","convMsg","time"
"1","1",2312.69979918297,0.0141205461717817,14,0,"relative convergence (4)",0.0294333333333877
"2","2",2299.6691852661,0.00521029487223501,24,0,"relative convergence (4)",0.0173333333333479
"3","3",1833.68942665284,0.00636917586221131,219,0,"relative convergence (4)",0.0233333333333576
"4","4",1465.01805898714,0.00551839939951049,372,0,"relative convergence (4)",0.0337999999999738
"5","5",1464.12162960177,0.00394019753702679,375,0,"relative convergence (4)",0.0264000000000427
"6","6",1412.59327629897,0.0231952764418395,379,0,"relative convergence (4)",0.0366833333333489
"7","7",1404.89630473448,0.0532747894237069,382,0,"relative convergence (4)",0.0349833333333663
"8","8",1381.69190288668,0.00271525124955829,385,0,"relative convergence (4)",0.0387166666666114
"9","9",1358.57081001483,0.0243810108393969,389,0,"relative convergence (4)",0.0383833333333314
"10","10",1357.75341441679,0.0477337911957392,393,0,"relative convergence (4)",0.0318666666667317
"11","RE",NA,NA,NA,NA,NA,NA
