"","Stock","$B_0$","$R_0$","$R_{init}$","$\overline{R}$","$M_0$","$\overline{M}$","$q_s$","$q_d$","$B_{2019}$","$B_{2019}/B_0$"
"1","C/S","13.215 (4.016)","1002.164 (296.297)","462 (462)","528 (139)","0.491 (0.043)","0.848 (0.064)","0.263 (0.049)","0.998 (0.01)","1.29 (0.345)","0.104 (0.036)"
"2","JP/S","69.001 (17.086)","3064.342 (769.97)","1295 (1295)","1798 (377)","0.444 (0.04)","0.718 (0.037)","0.205 (0.031)","0.997 (0.01)","6.635 (1.824)","0.101 (0.034)"
"3","Lou","6.119 (1.64)","277.848 (100.394)","635 (635)","184 (70)","0.457 (0.044)","0.714 (0.078)","0.119 (0.022)","0.999 (0.01)","1.554 (0.505)","0.264 (0.093)"
