"","Stock","$B_0$","$R_0$","$R_{init}$","$\overline{R}$","$M_0$","$\overline{M}$","$q_s$","$q_d$","$B_{2019}$","$B_{2019}/B_0$"
"1","C/S","3.943 (0.696)","320.931 (100.204)","214 (214)","258 (79)","0.489 (0.045)","0.858 (0.06)","0.26 (0.048)","0.997 (0.01)","1.245 (0.338)","0.322 (0.093)"
"2","JP/S","17.921 (3.066)","822.039 (196.385)","678 (678)","783 (171)","0.447 (0.042)","0.723 (0.037)","0.208 (0.032)","0.997 (0.01)","6.846 (1.744)","0.389 (0.107)"
"3","Lou","1.831 (0.382)","93.403 (38.172)","328 (328)","80 (36)","0.47 (0.047)","0.732 (0.074)","0.109 (0.022)","0.999 (0.01)","1.781 (0.591)","0.984 (0.3)"
