"","phase","objFun","maxGrad","nPar","convCode","convMsg","time"
"1","1",2234.53292489025,0.00288879301228917,14,0,"relative convergence (4)",0.0420833333332363
"2","2",2226.24619418871,0.0059873734272214,24,0,"relative convergence (4)",0.0180833333333188
"3","3",1781.80525238196,0.00893136004615513,219,0,"relative convergence (4)",0.0246833333333295
"4","4",1462.65243326188,0.0046508667045515,372,0,"relative convergence (4)",0.0390166666666725
"5","5",1460.65937604459,0.00325018803700061,375,0,"relative convergence (4)",0.0370666666666997
"6","6",1440.7665379063,0.020028091124729,379,0,"relative convergence (4)",0.0449333333333925
"7","7",1430.63585735774,0.0131904500303488,382,0,"relative convergence (4)",0.0456500000000233
"8","8",1266.65947835608,0.0243272723520018,385,0,"relative convergence (4)",0.0413000000000466
"9","9",1243.36090110729,0.00702522965704411,389,0,"relative convergence (4)",0.0387333333333421
"10","10",1242.48042340561,0.00846451979600005,393,0,"relative convergence (4)",0.0454333333333731
"11","RE",NA,NA,NA,NA,NA,NA
