"","phase","objFun","maxGrad","nPar","convCode","convMsg","time"
"1","1",2170.60972743857,0.00506899743020028,14,0,"relative convergence (4)",0.0418833333333168
"2","2",2159.55710908237,0.00662624474519335,24,0,"relative convergence (4)",0.0209666666666938
"3","3",1726.0570031825,0.00819767811558592,219,0,"relative convergence (4)",0.0289166666666764
"4","4",1398.19466603506,0.00368751936739287,372,0,"relative convergence (4)",0.0413666666666056
"5","5",1397.04589340987,0.00075472751826311,375,0,"relative convergence (4)",0.033083333333343
"6","6",1368.64839068368,0.0128028069435899,379,0,"relative convergence (4)",0.0428833333333993
"7","7",1362.96943636786,0.0131134280068981,382,0,"relative convergence (4)",0.0451833333333828
"8","8",1261.82690024884,0.0145755846946454,385,0,"relative convergence (4)",0.056700000000031
"9","9",1238.23082076413,0.0074780424740144,389,0,"relative convergence (4)",0.0511666666666618
"10","10",1237.32517963394,0.0140565591096724,393,0,"relative convergence (4)",0.0477333333333566
"11","RE",NA,NA,NA,NA,NA,NA
