"","Stock","$B_0$","$R_0$","$R_{init}$","$\overline{R}$","$M_0$","$\overline{M}$","$q_s$","$q_d$","$B_{2019}$","$B_{2019}/B_0$"
"1","C/S","8.679 (1.444)","782.229 (206.678)","479 (479)","608 (175)","0.494 (0.045)","0.886 (0.064)","0.262 (0.051)","0.998 (0.011)","1.171 (0.318)","0.137 (0.038)"
"2","JP/S","49.188 (6.882)","2289.606 (492.367)","1714 (1714)","1960 (421)","0.446 (0.044)","0.727 (0.039)","0.212 (0.031)","0.997 (0.01)","6.841 (1.714)","0.141 (0.037)"
"3","Lou","4.863 (1.006)","286.922 (96.417)","896 (896)","230 (89)","0.468 (0.043)","0.773 (0.084)","0.106 (0.02)","0.998 (0.009)","1.823 (0.665)","0.38 (0.132)"
