"","Stock","$B_0$","$R_0$","$R_{init}$","$\overline{R}$","$M_0$","$\overline{M}$","$q_s$","$q_d$","$B_{2019}$","$B_{2019}/B_0$"
"1","C/S","7.138 (1.136)","454.945 (103.388)","281 (281)","333 (73)","0.49 (0.04)","0.802 (0.051)","0.256 (0.048)","0.998 (0.011)","1.422 (0.285)","0.202 (0.044)"
"2","JP/S","36.753 (5.395)","1507.083 (281.012)","1097 (1097)","1208 (229)","0.442 (0.036)","0.698 (0.033)","0.203 (0.029)","0.997 (0.01)","7.261 (1.396)","0.201 (0.044)"
"3","Lou","4.072 (0.746)","122.029 (33.722)","585 (585)","104 (32)","0.485 (0.041)","0.621 (0.051)","0.117 (0.02)","0.998 (0.009)","1.104 (0.266)","0.275 (0.066)"
