"","simLabel","scenario","mp","species","stock","projObsErrMult","nGoodReps","medProbPDH_sp","pGoodReps","pBtGt.3B0","pBtGt.5B0","pBtGt.6B0","pCtGt650t","pUtGt.1HR","avgUtGt0.1HR","nYrsSOK","avgLicSOK","avgPonded_t","avgSOK_t","pondAAV","nYrsComm","avgCatch_t","catchAAV"
"1","sim_bat10","rw15_hiPondM","NoFish","HG Herring","C/S",1,100,0,1,0.62,0.31,0.24,NA,0,NA,0,0,0,0,0,0,0,0
"2","sim_bat10","rw15_hiPondM","NoFish","HG Herring","JP/S",1,100,0,1,0.77,0.33,0.22,NA,0,NA,0,0,0,0,0,0,0,0
"3","sim_bat10","rw15_hiPondM","NoFish","HG Herring","Lou",1,100,0,1,0.97,0.71,0.49,NA,0,NA,0,0,0,0,0,0,0,0
