"","Stock","$B_0$","$R_0$","$R_{init}$","$\overline{R}$","$M_0$","$\overline{M}$","$q_s$","$q_d$","$B_{2019}$","$B_{2019}/B_0$"
"1","C/S","3.957 (0.687)","339.205 (113.104)","220 (220)","271 (92)","0.495 (0.048)","0.87 (0.066)","0.26 (0.048)","0.998 (0.01)","1.27 (0.349)","0.327 (0.096)"
"2","JP/S","17.696 (2.708)","809.056 (193.119)","662 (662)","775 (185)","0.443 (0.039)","0.722 (0.038)","0.212 (0.033)","0.997 (0.01)","6.692 (1.741)","0.385 (0.109)"
"3","Lou","1.843 (0.364)","99.378 (42.917)","335 (335)","89 (40)","0.467 (0.042)","0.744 (0.077)","0.107 (0.021)","0.998 (0.009)","1.845 (0.656)","1.008 (0.323)"
