"","phase","objFun","maxGrad","nPar","convCode","convMsg","time"
"1","1",2232.92348697631,0.00035475327331369,14,0,"relative convergence (4)",0.0473666666666153
"2","2",2224.63675626639,0.0130948614197095,24,0,"relative convergence (4)",0.0231666666667782
"3","3",1780.1958144144,0.00444309576984736,219,0,"relative convergence (4)",0.0316166666666201
"4","4",1461.04299535579,0.00271188483514351,372,0,"relative convergence (4)",0.0403166666665735
"5","5",1459.04993811994,0.00225065829020579,375,0,"relative convergence (4)",0.043483333333279
"6","6",1439.1652676893,0.0124904333407052,379,0,"relative convergence (4)",0.0575833333333624
"7","7",1429.03938417605,0.0174959237230041,382,0,"relative convergence (4)",0.0526166666666541
"8","8",1265.06691707918,0.00680540547136665,385,0,"relative convergence (4)",0.0554499999999583
"9","9",1241.76195802808,0.0340910714366593,389,0,"relative convergence (4)",0.0586500000000039
"10","10",1240.88126459467,0.0125107308714814,393,0,"relative convergence (4)",0.0431166666666589
"11","RE",NA,NA,NA,NA,NA,NA
