"","Stock","$B_0$","$R_0$","$R_{init}$","$\overline{R}$","$M_0$","$\overline{M}$","$q_s$","$q_d$","$B_{2019}$","$B_{2019}/B_0$"
"1","C/S","3.776 (0.623)","341.793 (109.147)","224 (224)","291 (95)","0.492 (0.044)","0.884 (0.065)","0.261 (0.049)","0.998 (0.009)","1.189 (0.34)","0.319 (0.091)"
"2","JP/S","17.516 (2.322)","809.035 (187.589)","653 (653)","785 (189)","0.441 (0.042)","0.724 (0.039)","0.215 (0.033)","0.997 (0.01)","6.879 (1.799)","0.398 (0.11)"
"3","Lou","1.828 (0.348)","105.141 (44.141)","363 (363)","90 (42)","0.467 (0.043)","0.76 (0.078)","0.106 (0.021)","0.998 (0.009)","1.856 (0.629)","1.025 (0.324)"
